paragraphs,section_tag_3,title_meta_data,cross-ref,vessel_type
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e).i,all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e).iii.a,all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e).iv,all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e).iv.a),all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e).iv.b),all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e).iv.c),all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/11.1.2(e)i)-ii),all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/7.3.2(b).ii,all vessels
"11.1.2(e) 
Bearing Load Verification
 (2022)%The bearing load measurements are to be carried out at the drydock or lightship condition, unless agreed to otherwise by ABS. 


Bearing reactions are required to be verified and recorded by such means as hydraulic jack and/or strain gauge method on all accessible shafting bearings namely:


Forward stern tube bearing


Intermediate shaft bearing(s)


Minimum three aftmost main engine bearings (for directly coupled propulsion systems only)


Main-gear shaft bearing




Where hull deflections are accounted for in the analysis;


The measured values for the bearings identified in 4-3-2/11.1.2(e).i are to be within +20% of the calculated values, unless specifically approved otherwise. 


 For the first vessel in series, in addition to 4-3-2/11.1.2(e)i)-ii) requirements, bearing load measurements are to be taken for at least one additional service draft condition of the vessel as referenced in 4-3-2/11.1.2(e).iv.a) or b) or c).


In the case that the measured values are not within the prescribed tolerance identified in 4-3-2/11.1.2(e).iii.a, the shaft alignment calculations are to be revised so as to reflect compliance and re-submitted, or the requirements of 4-3-2/11.1.2(e).iv followed.




 Where hull deflections are NOT accounted for in the analysis, in addition to 4-3-2/11.1.2(e)i)-ii), bearing load measurements are to be taken in at least one additional service draft condition of the vessel such as:

The full ballast draft [see 4-3-2/7.3.2(b).ii], or
Fully laden draft [see 4-3-2/7.3.2(b).iii], or
Other service condition as determined acceptable by ABS.

In no case are the measured bearing reactions to exceed 80% of the maximum allowable manufacturerâs limit.


In the case that measurements in a particular service condition indicate that one of the bearings is unloaded, additional measurements and analyses, (such as whirling analysis) are to be required to confirm unloading of the bearing has no adverse effect on vessel operation.


Additional bearing load measurements may be required, as determined necessary by ABS.",4-3-2/11.1.2(e),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.1 Shaft Alignment', '11.1.2 Vessels with Shafting Arrangements Identified in 4-3-2/7.3.1(a)', '11.1.2(e) \nBearing Load Verification\n (2022)']",4-3-2/7.3.2(b).iii,all vessels
"Free water content in oil, if present


Bearing metals content (Pb, Fe, Cu, Al, Cr, Sn, Si, Ni)


Viscosity at 40Â°C%Stern tube bearing lubricating oil is to be sampled monthly under service conditions, and analyzed for water content using a suitable on-board test kit. Additionally, at least every six months, oil samples are to be submitted for analysis to a recognized laboratory where testing is to be conducted for the following:",4-3-2/13.5.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '13 Tail Shaft Condition Monitoring (TCM)', '13.5 Management of the Monitored Data', '13.5.1 \nLubricating Oil Sampling (1 July 2022)']",standalone,all vessels
"Note:
* Specific details regarding the interference fit of the coupling bolts are to be submitted. In addition, calculations and detail design basis for the sizing of the fitted bolts are to be submitted if the sizing of the bolts as per 4-3-2/5.19.1 of the Rules is not based on as-built line shaft diameter âDâ.%The following plans and particulars are to be submitted for review:",4-3-2/1.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.5 Plans and Particulars to be Submitted ']",4-3-2/5.19.1,all vessels
"5.15.2(a) White metal%The length of white-metal-lined, oil-lubricated propeller-end bearings fitted with an approved oil-seal gland is to be not less than two times the required tail shaft diameter. The length of the bearing may be reduced provided the nominal bearing pressure is not more than 0.80 N/mm2  (0.0815 kgf/mm2, 116 psi) as determined by static bearing reaction calculation taking into account shaft and propeller weight which is deemed to be exerted solely on the aft bearing, divided by the projected area of the bearing surface. The minimum length, however, is not to be less than 1.5 times the actual diameter.",4-3-2/5.15.2(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.2 Oil-lubricated Bearings ', '5.15.2(a) White metal']",standalone,all vessels
"5.15.2(b) Synthetic material  (2024)%The length of synthetic rubber, reinforced resin or plastic oil lubricated propeller end bearings fitted with an approved oil-seal gland is to be not less than two times the required tail shaft diameter. The length of bearing may be reduced provided the nominal bearing pressure is not more than 0.60 N/mm2  (0.0611 kgf/mm2, 87 psi) as determined by static bearing reaction calculation taking into account shaft and propeller weight which is deemed to be exerted solely on the aft bearing, divided by the projected area of the bearing surface. The minimum length, however, is not to be less than 1.5 times the actual diameter. Where bearing pressure exceeds 0.60 N/mm2 (0.0611 kgf/mm2, 87 psi), test data and satisfactory service experience are to be submitted for review and approval. Synthetic materials for application as oil-lubricated stern tube bearings are to be of approved type.",4-3-2/5.15.2(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.2 Oil-lubricated Bearings ', '5.15.2(b) Synthetic material  (2024)']",standalone,all vessels
5.15.2(c) Cast iron or bronze.%The length of oil-lubricated cast iron or bronze bearings which are fitted with an approved oil-seal gland is to be not less than four times the required tail shaft diameter.,4-3-2/5.15.2(c),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.2 Oil-lubricated Bearings ', '5.15.2(c) Cast iron or bronze. ']",standalone,all vessels
"5.15.2(d) Stern tube bearing oil lubrication system sampling arrangement (1 July 2022)%An arrangement for readily obtaining accurate oil samples is to be provided. The sampling point is to be taken from the lowest point in the oil lubrication system. Also, the arrangements are to be such as to permit the effective removal of contaminants from the oil lubrication system.",4-3-2/5.15.2(d),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.15 Tail Shaft Bearings ', '5.15.2 Oil-lubricated Bearings ', '5.15.2(d) Stern tube bearing oil lubrication system sampling arrangement (1 July 2022)']",standalone,all vessels
"5.17.1(b) Stainless steel liner%The thickness of stainless steel liners to be fitted to tail shafts or tube shafts is not to be less than one-half that required for bronze liners or 6.5 mm (0.25 in.), whichever is greater.",4-3-2/5.17.1(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.1 Thickness at Bearings ', '5.17.1(b) Stainless steel liner']",standalone,all vessels
"Determining required tail shaft and tube shaft diameters (see 4-3-2/5.1 and 4-3-2/5.3), and 


Periodical tail shaft survey (see 7-2-1/13.1.3(a) of the ABS Rules for Survey After Construction (Part 7)).%Stainless steel cladding in 4-3-2/5.17.5 and metallic liners in 4-3-2/5.17.1 if of non-continuous construction but if exposed shaft is protected with fiber glass reinforced plastic coating in accordance with 4-3-2/5.17.4 may be credited as âcontinuousâ liners for purposes of",4-3-2/5.17.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.6 Continuous Liner or Equivalent ']",4-3-2/5.1,all vessels
"Determining required tail shaft and tube shaft diameters (see 4-3-2/5.1 and 4-3-2/5.3), and 


Periodical tail shaft survey (see 7-2-1/13.1.3(a) of the ABS Rules for Survey After Construction (Part 7)).%Stainless steel cladding in 4-3-2/5.17.5 and metallic liners in 4-3-2/5.17.1 if of non-continuous construction but if exposed shaft is protected with fiber glass reinforced plastic coating in accordance with 4-3-2/5.17.4 may be credited as âcontinuousâ liners for purposes of",4-3-2/5.17.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.6 Continuous Liner or Equivalent ']",4-3-2/5.17.1,all vessels
"Determining required tail shaft and tube shaft diameters (see 4-3-2/5.1 and 4-3-2/5.3), and 


Periodical tail shaft survey (see 7-2-1/13.1.3(a) of the ABS Rules for Survey After Construction (Part 7)).%Stainless steel cladding in 4-3-2/5.17.5 and metallic liners in 4-3-2/5.17.1 if of non-continuous construction but if exposed shaft is protected with fiber glass reinforced plastic coating in accordance with 4-3-2/5.17.4 may be credited as âcontinuousâ liners for purposes of",4-3-2/5.17.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.6 Continuous Liner or Equivalent ']",4-3-2/5.17.4,all vessels
"Determining required tail shaft and tube shaft diameters (see 4-3-2/5.1 and 4-3-2/5.3), and 


Periodical tail shaft survey (see 7-2-1/13.1.3(a) of the ABS Rules for Survey After Construction (Part 7)).%Stainless steel cladding in 4-3-2/5.17.5 and metallic liners in 4-3-2/5.17.1 if of non-continuous construction but if exposed shaft is protected with fiber glass reinforced plastic coating in accordance with 4-3-2/5.17.4 may be credited as âcontinuousâ liners for purposes of",4-3-2/5.17.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.6 Continuous Liner or Equivalent ']",4-3-2/5.17.5,all vessels
"Determining required tail shaft and tube shaft diameters (see 4-3-2/5.1 and 4-3-2/5.3), and 


Periodical tail shaft survey (see 7-2-1/13.1.3(a) of the ABS Rules for Survey After Construction (Part 7)).%Stainless steel cladding in 4-3-2/5.17.5 and metallic liners in 4-3-2/5.17.1 if of non-continuous construction but if exposed shaft is protected with fiber glass reinforced plastic coating in accordance with 4-3-2/5.17.4 may be credited as âcontinuousâ liners for purposes of",4-3-2/5.17.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.6 Continuous Liner or Equivalent ']",4-3-2/5.3,all vessels
"Determining required tail shaft and tube shaft diameters (see 4-3-2/5.1 and 4-3-2/5.3), and 


Periodical tail shaft survey (see 7-2-1/13.1.3(a) of the ABS Rules for Survey After Construction (Part 7)).%Stainless steel cladding in 4-3-2/5.17.5 and metallic liners in 4-3-2/5.17.1 if of non-continuous construction but if exposed shaft is protected with fiber glass reinforced plastic coating in accordance with 4-3-2/5.17.4 may be credited as âcontinuousâ liners for purposes of",4-3-2/5.17.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.17 Tail Shaft Liners ', '5.17.6 Continuous Liner or Equivalent ']",7-2-1/13.1.3(a),all vessels
"Torque transmission by friction.  (2024)%Where torque is to be transmitted by friction provided by prestressed non-fitted bolts only and the bolts are under pure tension, the factor of safety against slip under the worst operating conditions, including mean transmitted torque plus torque due to torsional vibration, is to be at least as follows:",4-3-2/5.19.2(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.2 Non-fitted Bolts ', '\nTorque transmission by friction.  (2024)']",standalone,all vessels
"5.19.5(a) Design%Flexible couplings intended for use in propulsion shafting are to be of approved designs. Couplings are to be designed for the rated torque, fatigue, and avoidance of overheating. Where elastomeric material is used as a torque-transmitting component, it is to withstand environmental and service conditions over the design life of the coupling, taking into consideration the full range of maximum to minimum vibratory torque. Flexible coupling design will be evaluated based on submitted engineering analyses.",4-3-2/5.19.5(a),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.5 Flexible Couplings ', '5.19.5(a) Design']",standalone,all vessels
"5.19.5(b) Torsional displacement limiter%Flexible couplings with elastomer or spring type flexible members, whose failure will lead to total loss of propulsion capability of the vessel, such as that used in the line shaft of a single propeller vessel, are to be provided with a torsional displacement limiter. The device is to lock the coupling or prevent excessive torsional displacement when a pre-determined torsional displacement limit is exceeded. Operation of the vessel under such circumstances may be at reduced power. Warning notices for such reduced power are to be posted at all propulsion control stations.",4-3-2/5.19.5(b),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.19 Couplings and Coupling Bolts ', '5.19.5 Flexible Couplings ', '5.19.5(b) Torsional displacement limiter']",standalone,all vessels
